hh_id,username,completed_time,hh_id__1,gender,age,lived_movedin,movedin_month,movedin_bc_hurricane,status,missing_month,left_month,left_b_p_hurricane,left_bc_hurricane,left_first,left_final,hh_mem_num
38,CENSORED,NA,1,0,87,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
39,CENSORED,NA,0,1,72,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
39,CENSORED,NA,1,0,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
40,CENSORED,NA,0,1,82,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
40,CENSORED,NA,1,1,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
40,CENSORED,NA,2,0,50,1,NA,NA,3,NA,6,NA,NA,NA,NA,3
41,CENSORED,NA,0,0,93,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
41,CENSORED,NA,1,0,78,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
41,CENSORED,NA,2,1,76,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
42,CENSORED,NA,0,0,41,1,NA,NA,3,NA,9,2,NA,1,1,1
42,CENSORED,NA,1,0,7,1,NA,NA,3,NA,9,2,NA,1,1,2
42,CENSORED,NA,2,1,14,1,NA,NA,3,NA,9,2,NA,1,1,3
43,CENSORED,NA,0,1,57,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
44,CENSORED,NA,0,1,49,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
45,CENSORED,NA,0,0,40,2,9,1,1,NA,NA,NA,0,NA,NA,1
45,CENSORED,NA,1,0,62,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
45,CENSORED,NA,2,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
45,CENSORED,NA,3,0,18,2,9,1,1,NA,NA,NA,0,NA,NA,4
45,CENSORED,NA,4,0,12,2,9,1,1,NA,NA,NA,0,NA,NA,5
46,CENSORED,NA,0,0,77,2,9,1,1,NA,NA,NA,0,NA,NA,1
47,CENSORED,NA,0,0,37,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
47,CENSORED,NA,1,1,28,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
47,CENSORED,NA,2,0,18,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
47,CENSORED,NA,3,1,11,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
48,CENSORED,NA,0,1,38,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
48,CENSORED,NA,1,1,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
49,CENSORED,NA,0,1,37,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
49,CENSORED,NA,1,0,36,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
49,CENSORED,NA,2,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
49,CENSORED,NA,3,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
50,CENSORED,NA,0,0,59,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
50,CENSORED,NA,1,1,92,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
51,CENSORED,NA,0,1,35,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
52,CENSORED,NA,0,0,27,1,NA,NA,3,NA,9,2,NA,5,5,1
52,CENSORED,NA,1,1,27,1,NA,NA,3,NA,9,2,NA,5,5,2
52,CENSORED,NA,2,0,8,1,NA,NA,3,NA,9,2,NA,5,5,3
52,CENSORED,NA,3,0,75,1,NA,NA,3,NA,9,2,NA,5,5,4
52,CENSORED,NA,4,1,55,1,NA,NA,3,NA,9,2,NA,5,5,5
53,CENSORED,NA,0,0,79,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
53,CENSORED,NA,1,1,64,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
54,CENSORED,NA,0,0,54,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
54,CENSORED,NA,1,1,26,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
55,CENSORED,NA,0,0,73,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
55,CENSORED,NA,1,1,79,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
56,CENSORED,NA,0,0,45,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
56,CENSORED,NA,1,1,17,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
56,CENSORED,NA,2,0,20,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
56,CENSORED,NA,3,1,45,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
56,CENSORED,NA,4,0,21,2,9,1,1,NA,NA,NA,0,NA,NA,5
56,CENSORED,NA,5,0,0,2,9,1,1,NA,NA,NA,0,NA,NA,6
57,CENSORED,NA,0,0,58,2,9,1,1,NA,NA,NA,0,NA,NA,1
57,CENSORED,NA,1,0,85,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
57,CENSORED,NA,2,1,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
57,CENSORED,NA,3,1,21,2,9,1,1,NA,NA,NA,0,NA,NA,4
57,CENSORED,NA,4,1,59,2,9,1,1,NA,NA,NA,0,NA,NA,5
58,CENSORED,NA,0,1,20,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
58,CENSORED,NA,1,1,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
58,CENSORED,NA,2,0,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
58,CENSORED,NA,3,0,23,1,NA,NA,3,NA,12,NA,NA,1,1,4
59,CENSORED,NA,0,0,76,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
62,CENSORED,NA,0,1,22,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
62,CENSORED,NA,1,1,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
62,CENSORED,NA,2,0,25,2,6,0,3,NA,8,NA,0,NA,NA,3
62,CENSORED,NA,3,0,43,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
64,CENSORED,NA,0,1,46,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
64,CENSORED,NA,1,0,63,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
65,CENSORED,NA,0,1,64,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
66,CENSORED,NA,0,0,78,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
66,CENSORED,NA,1,1,29,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
66,CENSORED,NA,2,0,27,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
66,CENSORED,NA,3,1,14,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
66,CENSORED,NA,4,0,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5
68,CENSORED,NA,0,0,60,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
68,CENSORED,NA,1,1,77,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
69,CENSORED,NA,0,0,77,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
69,CENSORED,NA,1,1,77,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
70,CENSORED,NA,0,0,83,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
70,CENSORED,NA,1,1,60,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
71,CENSORED,NA,0,0,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
71,CENSORED,NA,1,1,69,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
72,CENSORED,NA,0,1,57,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
72,CENSORED,NA,1,0,55,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
72,CENSORED,NA,2,0,23,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
72,CENSORED,NA,3,1,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
73,CENSORED,NA,0,0,63,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
73,CENSORED,NA,1,1,20,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
73,CENSORED,NA,2,0,18,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
74,CENSORED,NA,0,1,66,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
74,CENSORED,NA,1,0,86,2,9,1,3,NA,10,NA,1,1,1,2
75,CENSORED,NA,0,1,70,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
76,CENSORED,NA,0,0,57,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
76,CENSORED,NA,1,1,57,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
77,CENSORED,NA,0,1,61,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
77,CENSORED,NA,1,0,63,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
78,CENSORED,NA,0,1,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
79,CENSORED,NA,0,1,64,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
79,CENSORED,NA,1,1,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
79,CENSORED,NA,2,0,53,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
79,CENSORED,NA,3,0,87,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
80,CENSORED,NA,0,0,51,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
80,CENSORED,NA,1,1,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
80,CENSORED,NA,2,1,19,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
80,CENSORED,NA,3,0,15,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4
81,CENSORED,NA,0,1,47,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
82,CENSORED,NA,0,1,74,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
82,CENSORED,NA,1,0,64,1,NA,NA,3,NA,8,NA,0,NA,NA,2
83,CENSORED,NA,0,0,52,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
83,CENSORED,NA,1,0,27,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
83,CENSORED,NA,2,0,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3
84,CENSORED,NA,0,0,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
84,CENSORED,NA,1,0,55,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2
